Year,Country,Oil Consumption - EJ,Gas Consumption - EJ,Coal Consumption - EJ,Nuclear Consumption - EJ,Hydro Consumption - EJ,Solar Consumption - EJ,Wind Consumption - EJ,Geo Biomass Other - EJ,Biofuels consumption - EJ,CO2e_Emissions
1990,Algeria,0.402521817,0.7023555,0.027591012,0.0,0.0014370967741935,0.0,0.0,0.0,0.0,120.80740451663875
1990,Argentina,0.827854906,0.7103529000000001,0.0441580758735109,0.0743758064516129,0.1885596078094523,0.0,0.0,0.0015286781028859,0.0,123.90422313328898
1990,Australia,1.3495846092215635,0.60393411781587,1.59965,0.0,0.1571172580645161,0.0,0.0,0.0087281249999999,0.0,299.32448316148486
1990,Austria,0.4633188653428395,0.2229656520599342,0.171506,0.0,0.3354183870967741,0.0,0.0,0.0131293639112903,0.0002656030731889988,60.17671000884249
1990,Azerbaijan,0.3614213822471053,0.555187122,0.003726252,0.0,0.0176496774193548,0.0,0.0,0.0,0.0,94.03720711017948
1990,Bangladesh,0.080020162,0.164671246815075,0.011781320256,0.0,0.0094103225806451,0.0,0.0,0.0,0.0,14.56257910554226
1990,Belarus,1.1227612278861028,0.4655701238938052,0.08895673026,0.0,0.0002129032258064,0.0,0.0,0.0,0.0,95.64029887500126
1990,Belgium,1.0047263236574653,0.3445145999999999,0.44507421522,0.4364075268817204,0.0028316129032258,0.0,7.451612903225805e-05,0.0032407258064516,0.0,129.32271424394696
1990,Brazil,7.414960119000003,0.339715466612283,1.2055045368313584,0.0685532258064516,6.601319999999999,0.0,0.0,0.1330442918346774,0.49028019929784,651.203763341034
1990,Bulgaria,0.4255056262739715,0.226863,0.345808494792,0.1498037634408602,0.0199916129032258,0.0,0.0,0.0,0.0,88.74064604759502
1990,Canada,3.466109059091369,2.295376029,1.136171,0.7401827956989245,3.147596666666667,0.0,2.043010752688173e-05,0.0454391129032258,0.0,480.3949156620365
1990,Chile,0.2856800109999999,0.0594710999999999,0.1090493928,0.0,0.0951829432258064,0.0,0.0,0.0110667338709677,0.0,33.1544170306033
1990,China,4.588460725402761,0.5550601769911503,22.08426133536,0.0,1.3492100309032258,2.129032258064516e-05,2.1505376344086024e-05,0.0006627016129032,0.0,2547.765718069268
1990,China Hong Kong SAR,0.271748819,0.0,0.229939056,0.0,0.0,0.0,0.0,0.0,0.0,42.0102728596
1990,Colombia,0.4089148142845928,0.1347102,0.0668951978058,0.0,0.2926977793548386,0.0,0.0,0.0031487903225806,0.0,50.6521987807457
1990,Croatia,0.1953922179999999,0.0918819,0.033852329532,0.0,0.0405048387096774,0.0,0.0,0.0,0.0,23.89036685619067
1990,Czech Republic,0.362252311,0.2197107,1.2454000432920005,0.1285564516129032,0.0123590322580645,0.0,0.0,0.0,0.0,157.84223723889528
1990,Denmark,0.3870772,0.07577307,0.2550012408,0.0,0.000298064516129,0.0,0.0064967419354838,0.0024133064516129,0.0,57.72457710598001
1990,Ecuador,0.2290196549999999,0.0094203,1.15250755356e-05,0.0,0.0530840948709677,0.0,0.0,0.0,0.0,22.232314459445668
1990,Egypt,0.991405407,0.2796254999999999,0.031782291876,0.0,0.1059512903225806,0.0,0.0,0.0,0.0,113.73854617143408
1990,Estonia,0.1488355636334226,0.0511749,0.259243348428,0.0,0.0,0.0,0.0,0.0,0.0,41.6088969104583
1990,France,3.879531768,1.0899126,0.7950733200000001,3.208354301075269,0.5734122580645162,0.0,2.8904380645161297e-06,0.0219840725806451,0.0,379.9412410519633
1990,Germany,5.5342555040000025,2.2927800000000005,5.506887000000001,1.5577956989247317,0.1845338709677419,1.064516129032258e-05,0.0007558064516129,0.0164909274193548,0.0,1027.6308813606267
1990,Greece,0.6722731790322266,0.0057834,0.337415761116,0.0,0.0188312903225806,0.0,2.129032258064516e-05,0.0,0.0,87.33380656062114
1990,Hungary,0.3900395720734864,0.373172,0.257793124644,0.1402629032258064,0.0018948387096774,0.0,0.0,0.0001953629032258,0.0,73.19755732997461
1990,India,2.498609581,0.41733846,4.593690519756882,0.0653239592473118,0.7068074725161291,0.0,0.0003225806451612,0.0004319397522522,0.0,677.2394071551195
1990,Indonesia,1.3185462720000003,0.6182290204215486,0.143236529853181,0.0,0.0691130709677419,0.0,0.0,0.0115192096774193,0.0,183.3891974493552
1990,Iran,1.9915602839932751,0.82074639636,0.029740222044,0.0,0.0785719354838709,0.0,0.0,0.0,0.0,289.1790930483117
1990,Iraq,0.6701866908692004,0.136116,0.0,0.0,0.0495028103225806,0.0,0.0,0.0,0.0,110.27417261263152
1990,Ireland,0.1903666905373535,0.078586236,0.1449415025761541,0.0,0.0074196774193548,0.0,0.0,0.0,0.0,32.04250991321466
1990,Israel,0.364496078,0.001134207074259,0.099234821844,0.0,3.193548387096774e-05,0.0,0.0,0.0,0.0,35.74437719112147
1990,Italy,4.059114568,1.6353368999999998,0.612932614992,0.0,0.3366638709677418,4.258064516129032e-05,2.043010752688173e-05,0.0334785618279569,0.0,423.8937453674735
1990,Japan,10.667387596970354,1.8113720860758613,3.2676831003600006,1.987556034946236,0.9250112903225808,1.064516129032258e-05,0.0,0.1281184913978494,0.0,1125.7881891224886
1990,Kazakhstan,0.9227783828274286,0.4716347399999999,1.6211061670607998,0.0,0.0784122580645161,0.0,0.0,0.0,0.0,256.31868439490563
1990,Kuwait,0.1860756129999999,0.143298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.919798154
1990,Lithuania,0.3191260801461581,0.1958919984,0.0333771696,0.1739930107526881,0.0044070967741935,0.0,0.0,0.0,0.0,37.73344356822437
